Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
27,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/27.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/27.cnf,"Final circuit size: 1243 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
28,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/28.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/28.cnf,"Final circuit size: 1240 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
29,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/29.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/29.cnf,"Final circuit size: 1858 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
30,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/30.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/30.cnf,"Final circuit size: 1240 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
31,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/31.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/31.cnf,"Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
32,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/32.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/32.cnf,"Final circuit size: 578 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
33,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/33.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/33.cnf,"Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
34,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/34.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/34.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
35,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/35.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/35.cnf,"Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
36,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/36.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/36.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
